Press this button for information about Police Quest.	按這個按鈕查看《警察故事》的遊戲資訊。
Poor guy. How does he smell?	可憐的傢伙。牠聞起來怎樣？
He smells awful! Ha ha ha!	牠聞起來糟透了！哈哈哈！
Ouch! You can't believe you fell for that one.	哎喲！真不敢相信你會上這個當。
Hey, Sonny, you found a girlfriend yet? Wake up, buddy, the lovely ladies of Lytton are pining away for you. Hah!	嘿，Sonny，你找到女朋友了嗎？醒醒吧，老兄，Lytton 的美女們都在等你呢。哈！
Personal hygiene is very important, you know. You do brush every day, don't you? I hope you floss. Most people don't. Be sure you get between your back teeth. Popcorn hulls and apple skins can hide back there for weeks. Weeks, I tell you!	個人衛生很重要，你知道嗎。你每天都刷牙吧？希望你也用牙線。大多數人不會。記得清理後排牙齒之間，爆米花殼和蘋果皮可以在那裡躲好幾週。好幾週，我說真的！
Hmm, I don't know about this cologne. What do you think, Sonny?	嗯，我不確定這款古龍水好不好。你覺得呢，Sonny？
Musk and leather are out this year. Woodsy scents are in.	今年麝香和皮革退流行了，木質香氣才流行。
Yeah? Really?	是嗎？真的？
Really. But this stuff...I dunno, it's citrusy. Makes you smell like a mango or something.	真的。不過這東西……我不知道，有股柑橘味。會讓你聞起來像芒果之類的。
Thanks loads, Bonds. Anyway, a mango isn't a citrus fruit.	多謝你啊，Bonds。不過芒果不是柑橘類水果。
What am I, a farmer?	我是農夫嗎？
You're about as good a farmer as a fragrance consultant. Or a cop, for that matter!	你當農夫就跟當香氛顧問一樣不稱職。當警察也是！
Did you know that Medieval people only bathed a few times a year? Dooley would've fit right in...HAH!	你知道中世紀的人一年只洗幾次澡嗎？Dooley 肯定很適合那個年代……哈哈！
You remove your gunbelt. It carries your 9mm handgun, speedloader, and a pair of stainless steel handcuffs.	你解下槍帶。上面掛著 9mm 手槍、快速裝彈器和一副不鏽鋼手銬。
Take your departmental issue piece with you on an undercover assignment, Bonds? Not too smart.	Bonds，執行臥底任務還帶著配槍？不太明智。
This is the handle for your locker. Once you've entered the combination, lifting this handle will open the locker.	這是置物櫃把手。輸入密碼後，抬起把手就能開櫃。
Why don't you try your combination instead, Bonds?	Bonds，何不試試你的密碼？
Just as you start to enter your combination, you realize with panic that you've completely forgotten your locker combination. Damn! This happens every time!	你正要輸入密碼時，驚慌地發現自己完全忘了置物櫃密碼。該死！每次都這樣！
Then you remember reading your combination somewhere recently...	接著你想起最近好像在哪裡讀過密碼……
That's it! You saw it in the Gazette! Your combination is the same as the final score in the Grunters-Sows final playoff game.	沒錯！你在《公報》上看過！密碼就是 Grunters 對 Sows 季後賽決賽的最終比分。（269）
It's your locker door.	這是你的置物櫃門。
You put your personal car keys in your locker.	你把私人車鑰匙放進置物櫃。
You hang your gunbelt in the locker.	你把槍帶掛進置物櫃。
You put the notebook and pen in the locker.	你把筆記本和筆放進置物櫃。
You put the peroxide in the locker.	你把過氧化物放進置物櫃。
You put your ticketbook in the locker.	你把開單簿放進置物櫃。
These are lockers which give this room its name.	這些置物櫃就是這個房間名稱的由來。
It's your ticket book and pen.	這是你的開單簿和筆。
This is your departmental issue PR-24 nightstick.	這是警察局配發的 PR-24 警棍。
The partition is good at keeping shower water away from the locker area.	隔板能有效防止淋浴水濺到置物櫃區。
It's the bottle of peroxide you're supposed to use to dye your hair white. Pyew!	這瓶過氧化物是拿來把頭髮染白的。呸！
Just walk there.	走過去就好。
The department uses low-flow, aerated shower heads. Water conservation is an issue in this part of the country.	警察局使用低流量的加氣淋浴頭。這一帶很重視節約用水。
Giving it the white glove test? Aside from the moisture, you'll only get athlete's foot germs on your hand.	要用白手套測試嗎？除了水氣以外，你只會在手上沾到香港腳的細菌。
The showers remind you of your high school gym days, where the same rules applied: don't bump into anybody, don't make eye contact, and never let 'em catch you looking below eye level.	淋浴間讓你想起高中體育館的日子；規則一樣：別撞到任何人、別和人眼神交會，也絕不能讓人發現你往腰部以下看。
You know the "Whitey" disguise is pretty lame but you've got to change into it before you can go undercover.	你知道「Whitey」偽裝很蹩腳，但臥底前必須換上它。
You'd better change into your uniform. You're late as it is.	你最好換上制服。你已經遲到了。
You don't need that uniform when you're off duty.	下班時不需要穿那套制服。
When you're on duty, you must wear a regulation uniform.	值勤時必須穿規定制服。
You're a Narc detective now. You don't need that trusty blue anymore.	你現在是緝毒探員，不再需要那套可靠的藍制服。
Only uniformed officers are allowed to carry that.	只有穿制服的警員可以攜帶那件物品。
You should think about removing your clothes first before taking a shower. You'll get cleaner that way.	洗澡前應該先脫衣服。那樣才能洗得更乾淨。
You've already taken a shower.	你已經洗過澡了。
Hey, Sonny! What do you think, will Morris scrub away to nothing or will he get waterlogged and become the first living drain plug? Ha ha!	嘿，Sonny！你覺得 Morris 會洗到消失，還是會泡到變成第一個活水塞？哈哈！
You're undercover now. Taking that with you might blow your cover.	你現在正在臥底。帶著那件東西可能會暴露身分。
That must be the wrong combination. Now what WAS that Grunters-Sows score again? Better check your copy of the Gazette.	密碼一定錯了。Grunters 對 Sows 的比分到底是多少？最好再查查你的《公報》。（269）
You took care of that before you left the house this morning.	你今天早上離家前已經處理過了。
Those are toilet stalls. You hate using them, so you're careful to use the facilities at home before coming to work.	那些是廁所隔間。你討厭使用它們，所以每天上班前都會先在家解決。
You change into the disguise. Oh, God, it's a leisure suit!	你換上偽裝。天啊，是休閒服！
You also find a wallet containing the undercover money you'll need.	你還找到一個皮夾，裡面有臥底時需要的錢。
Bleach your hair first, so you don't end up ruining the - yecch! - leisure suit.	先漂白頭髮，免得最後弄壞那件——呸！——休閒服。
You hang up your "hustler" suit. You're glad to be rid of it!	你掛起「花花公子」套裝。擺脫它真令人高興！
That outfit wouldn't be in good taste at this time.	現在穿那套衣服不太合適。
It's your horrid 'Whitey' disguise.	這是你可怕的「Whitey」偽裝。
Everything in the room is covered with dampness from the showers. It's unpleasant to touch.	房間裡的一切都被淋浴的水氣覆蓋，摸起來很不舒服。
It's the steamy, sweaty locker room for the male cops.	這是悶熱、滿是汗味的男警員更衣室。
You get the towel and put it on. You were raised to be modest!	你拿起毛巾披上。你從小受教要保持端莊！
You place the towel back in the locker, and hope it doesn't grow mildew. Yuk!	你把毛巾放回置物櫃，希望它不會發霉。噁！
You already took a shower. How clean do you want to get?	你已經洗過澡了。你還想洗得多乾淨？
It's your towel. You may want to think about taking it home and washing it someday.	這是你的毛巾。也許哪天該考慮帶回家洗一洗。
You change into your trusty blue uniform.	你換上可靠的藍制服。
You don't need to wear that uniform anymore. You're a Narc officer now.	你不再需要穿那套制服。你現在是緝毒警員。
Regulations state you must take a shower before changing into your uniform.	規定要求你換制服前必須先洗澡。
You carefully hang up your uniform. Those cleaning bills are a wallet drainer, and they're non-deductible.	你小心掛起制服。清洗費會掏空皮夾，而且不能抵稅。
You don't need to wear your uniform now.	你現在不需要穿制服。
It's your trusty blue uniform and patrol belt.	這是你可靠的藍制服和巡邏腰帶。
There's nothing worth taking here.	這裡沒有值得拿走的東西。
Shooting a mug shot wouldn't get you much beyond a suspension and bad publicity for the department.	拍自己的大頭照頂多讓你被停職，還會替警局招來壞名聲。
The bulletin board has the usual array of mug shots and group activity announcements. Hey, is that Sergeant Dooley's mother?	公告欄上照例貼著一排大頭照和團體活動通知。嘿，那是 Dooley 警佐的母親嗎？
